houseguid,formalname_region,formalname_area,formalname_city,formalname_street,house_number,building,block,letter,floor_count_max,floor_count_min,living_quarters_count,area_residential
1590836e-319e-4f6d-a6ab-e9a2440fe9e3,Свердловская,,Верхний Тагил,Садовая,7,,,,2.0,2.0,12.0,"588,40"
dc2e01f4-d7fd-4bf9-9241-7c552dfcf420,Свердловская,,Верхний Тагил,Садовая,8,,,,2.0,2.0,12.0,"879,20"
80b7bfb4-5dff-48dd-b68d-cb595e3e5ebc,Свердловская,Верхнесалдинский,Верхняя Салда,Сабурова,2,,,,5.0,5.0,155.0,"2528,20"
17589b38-eae3-414c-b3e8-f5482c5d819e,Свердловская,Верхнесалдинский,Верхняя Салда,Рабочей молодежи,7,,,,5.0,5.0,70.0,"3248,55"
4be244ae-7ed2-4d3b-8fc5-85d5fb9b3c54,Свердловская,Богдановичский,Богданович,Партизанская,21,,,,5.0,5.0,52.0,"2683,00"
23325db2-3e4b-4221-b752-57df54bd68b5,Свердловская,Богдановичский,Богданович,Труда,3,,,,1.0,1.0,1.0,"61,30"
b6e05db3-0c2d-4e4a-8d93-7694604014d3,Свердловская,Богдановичский,Богданович,Уральская,19,,а,,3.0,,21.0,"972,70"
b0fceb6b-c965-4385-aa2d-c5cec1e0a0b9,Свердловская,,Верхний Тагил,Садовая,1,,,,3.0,3.0,24.0,"948,40"
b29fe6ce-20e3-4b86-b46d-5850f4589538,Свердловская,Богдановичский,Богданович,Юбилейная,6,,,,1.0,,,"118,80"
12a732a1-6a86-4159-a1cf-fae36bac58ff,Свердловская,Богдановичский,Богданович,Строителей,53,,,,1.0,,,"186,30"
aa4d39d4-1bb9-4aed-8b68-792fbbbb3525,Свердловская,Богдановичский,Богданович,Строителей,57,,,,1.0,1.0,1.0,"66,90"
5a97a11d-a5ff-4694-8b7d-9983b4263a9c,Свердловская,Верхнесалдинский,Верхняя Салда,3 Интернационала,152,,,,2.0,2.0,7.0,"298,50"
cecd5728-5e59-40f4-b379-f11fa71f7caf,Свердловская,Верхнесалдинский,Верхняя Салда,3 Интернационала,154,,,,2.0,2.0,7.0,"561,50"
09280eab-c4ce-4925-bf1c-28a0efd800d7,Свердловская,Верхнесалдинский,Верхняя Салда,Воронова,1,,,,5.0,5.0,83.0,"3172,60"
7bdcbe19-82d2-4991-96b9-4a251cff8933,Свердловская,Верхнесалдинский,Верхняя Салда,Воронова,2,,,,5.0,,,"3236,00"
d209973f-06dc-436b-ad8d-cc7bcd224571,Свердловская,Верхнесалдинский,Верхняя Салда,Воронова,2,,1,,5.0,5.0,123.0,"5146,10"
f494c24b-fdb1-4648-9690-3890b167f930,Свердловская,Верхнесалдинский,Верхняя Салда,Воронова,2,,2,,5.0,5.0,72.0,"3508,20"
